simple_name,country,type,average_volume,high_52_weeks,dividend_yield,low_52_weeks,market_cap,pb_ratio,shares_outstanding,sector,industry,num_employees,year_founded
Takeda Pharmaceutical,JP,0,1509106.8,21.61,2.64911,16.1,54993098943,1.24115,3115496790,Health Technology,Pharmaceuticals: Major,49578,1781
Orange,FR,0,1077162.7,16.8,4.50108,13.09,35618439197,1.2774,2650317032,Communications,Major Telecommunications,150711,1794
Westpac,AU,0,792270.9,20.56,7.77546,14.77,55048899726,1.1765,3605174255,Finance,Major Banks,33288,1817
Swedbank,SE,0,138949.7,19.62,8.21973,12.43,16901097563,1.16266,1118308667,Finance,Major Banks,15879,1820
DNB ASA,NO,0,120165.1,19.93,4.57923,15.6,26010788685,1.08568,1570585000,Finance,Major Banks,9638,1822
Jardine Matheson,HK,0,23653.2,69.91,3.05085,50.89,39856324219,0.5378,306142000,Producer Manufacturing,Industrial Conglomerates,469000,1832
Sberbank,RU,0,295991.1,17.48,6.11486,12.21,78164884502,1.17079,5374525000,Finance,Regional Banks,293752,1841
Siemens,DE,0,261086.4,66.74,3.05894,46.85,87019210975,1.52019,1625535904,Producer Manufacturing,Industrial Conglomerates,385000,1847
Compania Cervecerias Unidas,CL,0,536022.7,29.48,2.15626,15.62,2767453894,1.6894,184751500,Consumer Non-Durables,Beverages: Alcoholic,8961,1850
Swisscom,CH,0,6495.1,58.605,3.35793,45.88,27486418604,3.54444,518015570,Communications,Major Telecommunications,19845,1852
Santander Group,ES,0,16181442.6,5.25,6.98907,3.51,60731619877,0.573465,16605850348,Finance,Major Banks,202713,1857
National Australia Bank,AU,0,231003.8,10.38,6.9927,7.75,46656541779,1.2604,5750992000,Finance,Major Banks,34370,1858
Itochu,JP,0,15430.7,48.815,3.02091,34.25,36167483218,1.18622,745140144,Distribution Services,Wholesale Distributors,119796,1858
Mizuho Financial Group,JP,0,1647066.3,3.2,3.97633,2.55,34746514849,0.411405,12684633050,Finance,Major Banks,59132,1864
Nestle,CH,0,649623.7,114.87,2.2137,90.61,3.04E+11,5.66676,2880049442,Consumer Non-Durables,Food: Major Diversified,291000,1866
Continental AG,DE,0,273729.9,17.84,3.41193,10.75,22325565529,1.29371,2000060000,Producer Manufacturing,Auto Parts: OEM,243226,1871
CorpBanca,CL,0,13928.7,14.45,2.40935,5.8,1874529419,0.450029,341604666.7,Finance,Regional Banks,9179,1871
Ericsson,SE,0,9576480.9,10.46,0.61144,7.58,26419444949,3.03616,3052400000,Electronic Technology,Telecommunications Equipment,95359,1876
SGS,CH,0,36950.5,29.4,1.91673,23.61,19272944000,14.5861,755070700,Commercial Services,Miscellaneous Commercial Services,97368,1878
BBVA Argentina,AR,0,1065003.8,12.58,6.17087,3.035,1098627094,0.886943,204220000,Finance,Regional Banks,6089,1886
The Wharf (Holdings),HK,0,102690.5,6.51,3.33974,4.12,6432986718,0.3675,1524615000,Finance,Real Estate Development,8700,1886
Diageo,GB,0,642803.4,176.22,2.40606,138.91,82549616616,8.4514,583485000,Consumer Non-Durables,Beverages: Alcoholic,28150,1886
Ahold Delhaize,NL,0,166590.5,27.05,2.78591,22.01,25608555896,1.66165,1047195000,Retail Trade,Food Retail,372000,1887
HeidelbergCement,DE,0,156127.1,16.403,2.58456,11.58,11734459495,0.642724,992080000,Non-Energy Minerals,Construction Materials,57939,1889
FEMSA,MX,0,680658.9,100.35,1.76709,79.8,17589827742,2.24489,216118000,Consumer Non-Durables,Beverages: Non-Alcoholic,229871,1890
Santen Pharmaceutical,JP,0,35427.5,20.09,1.11184,14.11,6422501054,2.34368,399255965,Health Technology,Pharmaceuticals: Other,4073,1890
Unilever,GB,0,1554955,64.84,3.23464,52.655,1.39E+11,11.0332,1162035786,Consumer Non-Durables,Household/Personal Care,154848,1894
Bank Rakyat Indonesia,ID,0,84085.8,17.362,5.47047,12.73,36021530720,2.3957,2447616510,Finance,Regional Banks,61768,1895
Weir Group,GB,0,16740.4,12.02,3.34522,7.49,4329070772,1.5586,519216394,Producer Manufacturing,Industrial Machinery,17515,1895
Givaudan,CH,0,24618.1,69.44,1.20349,49.3,30115336700,8.0116,460902250,Process Industries,Chemicals Specialty,14969,1895
Barclays,GB,0,8930120.7,10.22,5.97238,6.54,32915615470,0.458374,4328050000,Finance,Major Banks,83500,1896
Roche,CH,0,3587059.4,44.77,1.77636,25.1,2.75E+11,8.34062,5566054040,Health Technology,Pharmaceuticals: Major,94442,1896
Pearson,GB,0,874643.1,11.51,3.50463,6.96,5459957492,1.0252,765508335,Consumer Services,Publishing: Books/Magazines,24000,1897
Lonza Group,CH,0,41991.2,43.056,1.1731,28.23,29419753094,4.8702,742462050,Health Technology,Biotechnology,15375,1897
Banorte,MX,0,76611,33,4.99722,22.96,15532635775,1.74709,554746000,Finance,Regional Banks,30548,1899
Suntory Beverage & Food,JP,0,45763.8,23.53,1.23104,18.49,11773884255,1.71496,618000000,Consumer Non-Durables,Beverages: Non-Alcoholic,24142,1899
Gerdau,BR,0,15786829.1,5.3427,1.21814,2.73,6179673054,0.9952,1125560819,Non-Energy Minerals,Steel,24542,1901
Daiwa Securities Group,JP,0,65431.1,5.34,2.89253,4.04,7234550275,0.579268,1518778646,Finance,Investment Banks/Brokers,15196,1902
Royal DSM,NL,0,582733.1,32.87,1.775,26.362,20277378879,2.31779,702602300,Process Industries,Chemicals: Specialty,20977,1902
Tate & Lyle,GB,0,2889.3,42.5,3.82454,33.68,4221334755,2.2313,115983387.8,Consumer Non-Durables,Food: Specialty/Candy,4121,1903
Umicore,BE,0,79947.9,13.45,1.24662,7.04,10222756265,3.5431,963101800,Non-Energy Minerals,Other Metals/Minerals,10420,1904
Norsk Hydro,NO,0,211145.7,4.65,3.83389,2.79,6057048000,0.63874,2048000000,Non Energy Minerals,Aluminum,36236,1905
Cemex,MX,0,15517611.9,5.1,2.94408,2.82,4965086880,5.47173,1513750000,Non-Energy Minerals,Construction Materials,42024,1906
Shell,NL,0,7815030.2,67.45,8.32595,42.28,1.66E+11,0.954325,1858805000,Energy Minerals,Integrated Oil,81000,1907
Shell,NL,0,8481271.3,66.48,7.12915,42.11,1.66E+11,0.947351,2049360000,Energy Minerals,Integrated Oil,81000,1907
SKF,SE,0,28592.7,21.1,3.18852,14.73,7884463591,2.06599,422954000,Producer Manufacturing,Metal Fabrication,44428,1907
AGC Inc,JP,0,66628.7,7.54,2.70072,5.43,6536580577,0.597768,1107851650,Process Industries,Industrial Specialties,54101,1907
Kirin Holdings,JP,0,39925.1,24.21,2.30431,18.75,17582626779,2.04319,868728669,Consumer Non-Durables,Beverages: Alcoholic,30464,1907
British Petroleum,GB,0,15764992,45.38,7.75675,29.71,1.02E+11,1.10483,3348627833,Energy Minerals,Integrated Oil,73000,1909
Tenaris,LU,0,3924247.9,30.32,2.90948,17.64,10689789700,0.916365,590268415,Non Energy Minerals,Steel,23472,1909
Hitachi,JP,0,47547.4,86.87,2.11315,56.28,32614834002,1.10055,483118623,Producer Manufacturing,Industrial Conglomerates,295941,1910
Sharp,JP,0,67478.4,4.04,0.9756,2.15,7148385710,2.87495,2125236728,Consumer Durables,Electronics/Appliances,54156,1912
Volvo,SE,0,61882.5,18.05,2.7457,12.879,32671821420,2.31297,1577232273,Producer Manufacturing,Trucks/Construction/Farm Machinery,105175,1915
Makita,JP,0,24373.5,39.98,1.40914,27.47,9696060661,1.75939,271517707,Consumer Durables,Tools & Hardware,16424,1915
Naspers,ZA,0,421003.8,52.08,0.2189,27.25,66860843556,3.2204,2176275880,Communications,Major Telecommunications,20196,1915
BMW,DE,0,136796,29.25,4.2927,21,41809555087,0.694243,1824227273,Consumer Durables,Motor Vehicles,134682,1916
Subaru,JP,0,126077.3,14.505,4.04482,11.03,18679424882,1.20412,1533632088,Consumer Durables,Motor Vehicles,34200,1917
Nitto Denko,JP,0,16519,29.71,2.72792,21.38,7977292375,1.19857,313793356,Electronic Technology,Semiconductors,26001,1918
Orkla,NO,0,43984.9,10.1825,2.609,7.48,8375742797,2.34543,1000304818,Consumer Non-Durables,Food: Specialty/Candy,18510,1918
Panasonic,JP,0,306399.6,11.77,2.37592,7.46,23438129144,1.23091,2332863036,Consumer Durables,Electronics/Appliances,271869,1918
Olympus,JP,0,10531.9,18.88,1.22093,6.2625,24936124352,6.5241,1285573644,Health Technology,Medical Specialties,35124,1919
Mazda,JP,0,247579.3,6.05,3.11983,3.28,4244750900,0.393766,1259573546,Consumer Durables,Motor Vehicles,49998,1920
Komatsu Ltd.,JP,0,210255.6,26,4.4099,19.26,19678844315,1.15015,944393084,Producer Manufacturing,Trucks/Construction/Farm Machinery,61908,1921
Mitsubishi Electric,JP,0,67505.2,30,2.15263,22.98,27291645189,1.19777,1072552945,Electronic Technology,Electronic Equipment/Instruments,145817,1921
Shimano,JP,0,50005.9,16.9,0.786625,13.4,12997046334,2.87612,927008850,Consumer Durables,Recreational Products,11600,1921
Telefonica,ES,0,3768311.5,9.01,5.72662,5.75,30569671107,1.4087,5115454573,Communications,Specialty Telecommunications,120138,1924
Total,FR,0,3202854.5,58.82,5.36988,41.32,1.10E+11,0.983817,2586405766,Energy Minerals,Integrated Oil,104460,1924
Daikin Industries,JP,0,122688,15.33,0.79666,10.89,40013939512,2.8913,2925530790,Producer Manufacturing,Industrial Machinery,76484,1924
Nomura,JP,0,216415.6,5.41,3.16262,3.05,15530185029,0.569693,3091696598,Finance,Investment Banks/Brokers,27864,1925
